timestamp(unix),attitude_roll(radians),attitude_pitch(radians),attitude_yaw(radians),rotation_rate_x(radians/s),rotation_rate_y(radians/s),rotation_rate_z(radians/s),gravity_x(G),gravity_y(G),gravity_z(G),user_acc_x(G),user_acc_y(G),user_acc_z(G),magnetic_field_x(microteslas),magnetic_field_y(microteslas),magnetic_field_z(microteslas),latitude(degree),longitude(degree),altitude(meter),speed(m/s),course(degree),timestamp(unix),User Mark
1537456270.684553,0.511623,0.729843,-0.493989,0.115281,1.591981,0.142407,0.364883,-0.666753,-0.649847,-0.084473,-0.045939,0.084493,34.196613,-23.624359,-27.112000,,,,,,,
1537456270.714420,0.571892,0.752894,-0.494156,1.092602,2.054681,0.572513,0.394938,-0.683753,-0.613600,0.047063,-0.045739,-0.155519,35.302059,-24.254379,-24.967896,,,,,,,
1537456270.744287,0.639179,0.797333,-0.523047,1.839139,1.306663,0.023665,0.416751,-0.715495,-0.560701,0.119153,0.012309,0.002488,35.949203,-25.010996,-23.278931,,,,,,,
1537456270.774155,0.710447,0.833601,-0.572352,1.410937,1.085627,-0.155994,0.438400,-0.740357,-0.509586,-0.110611,-0.009369,0.011081,36.795162,-26.242043,-20.233948,,,,,,,
1537456270.804022,0.786537,0.872279,-0.612122,2.157576,2.118765,0.709700,0.455246,-0.765796,-0.454210,-0.366425,-0.083645,0.015566,37.395576,-27.704874,-17.129700,,,,,,,
1537456270.833889,0.921998,0.963907,-0.702095,4.133008,1.877421,1.058987,0.454433,-0.821426,-0.344601,0.134114,0.059372,-0.273640,37.112347,-29.139517,-14.224915,,,,,,,
1537456270.863756,1.145331,1.045683,-0.902248,4.529977,1.931685,0.303927,0.456617,-0.865267,-0.206913,-0.010389,0.008242,0.066532,36.858273,-31.933977,-7.384033,,,,,,,
1537456270.893624,1.458181,1.099485,-1.176472,4.926818,3.095241,0.804583,0.451178,-0.890974,-0.051026,0.006220,-0.155855,0.143509,36.365257,-32.551300,-3.401428,,,,,,,
1537456270.923491,1.928587,1.105846,-1.549061,5.604074,5.410779,1.021786,0.419983,-0.893844,0.157024,-0.082703,0.009124,0.072788,34.089787,-33.221729,7.714539,,,,,,,
1537456270.953358,2.355140,1.069665,-1.878164,4.165064,3.768595,2.226053,0.340064,-0.877039,0.339348,-0.188163,-0.232076,-0.096138,31.791183,-32.958252,13.432922,,,,,,,
1537456270.983225,2.609949,1.051570,-2.051276,0.767757,2.700861,1.344661,0.251553,-0.868203,0.427719,-0.055416,-0.075171,-0.087539,26.775896,-33.054287,20.560791,,,,,,,
1537456271.013092,2.669221,1.071450,-2.066702,-0.760974,1.116148,0.058484,0.217877,-0.877896,0.426414,-0.000608,0.086499,0.008156,25.311441,-33.502281,21.389465,,,,,,,
1537456271.042960,2.689739,1.079320,-2.060407,0.040052,1.476750,0.337984,0.206060,-0.881637,0.424565,-0.277776,0.072082,-0.168401,24.029240,-34.233734,21.706299,,,,,,,
1537456271.072827,2.780638,1.091432,-2.106980,-0.286934,1.387869,0.975158,0.162886,-0.887288,0.431494,-0.072722,0.366552,-0.280951,23.005795,-34.635445,22.336853,,,,,,,
1537456271.102694,2.833740,1.107564,-2.137721,-0.510047,0.675056,0.162227,0.135399,-0.894613,0.425835,0.118660,0.138296,-0.086037,20.821705,-35.614201,22.809692,,,,,,,
1537456271.132562,2.814777,1.117016,-2.104337,-0.404088,-0.046463,-0.654046,0.140728,-0.898796,0.415163,-0.060177,0.284462,-0.230883,20.523897,-35.825363,22.798645,,,,,,,
1537456271.162430,2.767873,1.159658,-2.037605,-2.925340,1.175480,0.052243,0.145906,-0.916667,0.372067,-0.162111,0.368952,0.016192,20.524231,-36.579269,21.776855,,,,,,,
1537456271.192297,2.835806,1.274059,-2.052840,-3.465780,2.249416,2.521660,0.088025,-0.956296,0.278836,0.059390,0.516125,-0.302533,19.682821,-38.271584,20.436035,,,,,,,
1537456271.222164,-3.105057,1.363277,-2.333776,-1.597018,2.270008,2.057247,-0.007526,-0.978545,0.205894,-0.032773,0.615630,-0.239845,14.100393,-42.528320,18.128662,,,,,,,
1537456271.252031,-3.046378,1.358809,-2.386731,1.218178,-0.510893,-0.728248,-0.020003,-0.977615,0.209451,-0.037309,0.402786,-0.387826,12.209349,-43.038265,17.900757,,,,,,,
1537456271.281898,3.055669,1.306676,-2.234275,1.949849,-1.316756,-1.079405,0.022404,-0.965322,0.260097,0.209164,0.283056,-0.213863,12.848653,-41.888599,20.405945,,,,,,,
1537456271.311766,2.989857,1.241713,-2.197567,2.105992,-0.634868,-0.353704,0.048849,-0.946339,0.319463,0.271387,0.250309,0.043132,13.356479,-40.870010,21.877563,,,,,,,
1537456271.341633,2.964843,1.197564,-2.181170,0.722394,-0.018957,-0.416299,0.064113,-0.931154,0.358947,0.232961,0.052720,0.207811,13.024911,-38.631393,24.849182,,,,,,,
1537456271.371500,2.953846,1.205536,-2.172028,-0.760955,-0.064267,-0.033443,0.066668,-0.934031,0.350916,0.353421,-0.100164,0.388693,12.467638,-38.036697,25.500549,,,,,,,
1537456271.401367,2.901985,1.220277,-2.122716,-0.342399,-0.354918,-0.800924,0.081492,-0.939195,0.333575,0.166966,-0.084273,0.217100,11.888824,-37.718876,25.528625,,,,,,,
1537456271.431235,2.811211,1.214679,-2.040824,-0.012900,-0.430286,-1.024206,0.113100,-0.937258,0.329783,0.168456,-0.311552,0.380880,12.382227,-36.684807,25.837341,,,,,,,
1537456271.461102,2.728827,1.208179,-1.954773,-0.246768,0.153611,-1.094188,0.142295,-0.934972,0.324931,0.142816,-0.311030,0.430806,13.008941,-35.930466,26.185059,,,,,,,
1537456271.490969,2.623744,1.195097,-1.837967,-0.373154,0.158607,-1.606684,0.181631,-0.930251,0.318813,0.134211,-0.247163,0.256153,14.228616,-34.329361,26.537903,,,,,,,
1537456271.520836,2.554900,1.201369,-1.743582,-0.960921,0.869835,-0.203384,0.199898,-0.932534,0.300700,-0.007546,-0.368857,0.219670,14.543660,-34.157661,26.501831,,,,,,,
1537456271.550704,2.518442,1.207795,-1.676906,-0.263170,0.664637,-1.129751,0.207224,-0.934835,0.288342,-0.091013,-0.121470,0.026035,14.442570,-33.793884,26.457886,,,,,,,
1537456271.580571,2.476061,1.182543,-1.610216,0.393047,0.822706,-0.851124,0.233760,-0.925572,0.297781,0.118398,-0.207134,0.001582,14.923402,-32.896915,26.649780,,,,,,,
1537456271.610438,2.503660,1.177841,-1.599304,-0.480522,1.477628,0.122489,0.228043,-0.923781,0.307611,0.066498,-0.235871,-0.025583,14.306240,-31.729071,27.479248,,,,,,,
1537456271.640305,2.476621,1.198899,-1.533464,-1.175638,0.782005,-0.571132,0.224222,-0.931639,0.285960,-0.081460,-0.146257,-0.122828,13.716155,-31.999809,27.458679,,,,,,,
1537456271.670173,2.414646,1.203053,-1.453298,-0.310937,0.259033,-0.368071,0.238927,-0.933141,0.268629,0.044474,-0.329707,-0.127271,14.147408,-32.334351,26.777100,,,,,,,
1537456271.700040,2.444516,1.207590,-1.479047,0.281583,0.084391,0.621188,0.228078,-0.934762,0.272396,0.087627,-0.235861,-0.099849,14.125273,-32.137959,26.796143,,,,,,,
1537456271.729907,2.464617,1.202953,-1.506273,0.338033,-0.389518,-0.162097,0.225269,-0.933105,0.280300,0.010891,-0.080368,-0.058590,13.963322,-31.654776,26.742554,,,,,,,
1537456271.759774,2.465427,1.198823,-1.521916,0.173312,-0.423428,0.417762,0.227452,-0.931612,0.283486,0.100993,-0.219740,0.032798,14.387338,-31.474676,26.686707,,,,,,,
1537456271.789641,2.499867,1.208090,-1.571470,0.035990,-0.501215,0.672437,0.212379,-0.934940,0.284222,0.083626,-0.110653,-0.049755,14.452607,-31.130253,26.441101,,,,,,,
1537456271.819509,2.490839,1.214080,-1.588503,-0.016412,-1.234726,-0.074127,0.211540,-0.937049,0.277832,0.042046,-0.087472,-0.117707,14.508742,-31.355244,26.151062,,,,,,,
